"site_id";"bio01_LGM";"bio01_current";"bio01_little_ice_age";"bio01_medieval_warm";"bio01_mid_Holocene";"bio01_other";"bio03_LGM";"bio03_current";"bio03_little_ice_age";"bio03_medieval_warm";"bio03_mid_Holocene";"bio03_other";"bio12_LGM";"bio12_current";"bio12_little_ice_age";"bio12_medieval_warm";"bio12_mid_Holocene";"bio12_other"
"43";"120-a";284.8;289.3;288.42;288.275;287.357142857143;286.438547486034;41.3727272727273;36.8;35.96;37.05;32.6380952380952;36.3145251396648;223.272727272727;201;193.4;199.75;233.761904761905;203.35393258427
"44";"120-b";284.8;289.3;288.42;288.275;287.357142857143;286.438547486034;41.3727272727273;36.8;35.96;37.05;32.6380952380952;36.3145251396648;223.272727272727;201;193.4;199.75;233.761904761905;203.35393258427
"45";"120-c";284.8;289.3;288.42;288.275;287.357142857143;286.438547486034;41.3727272727273;36.8;35.96;37.05;32.6380952380952;36.3145251396648;223.272727272727;201;193.4;199.75;233.761904761905;203.35393258427
"46";"121-a";285.463636363636;290;289.18;289.1;288.266666666667;287.258100558659;41.4727272727273;37.1;35.92;36.925;31.4428571428571;35.4396648044693;554.727272727273;368;357.6;371.25;430.761904761905;425.539325842697
"47";"121-b";285.463636363636;290;289.18;289.1;288.266666666667;287.258100558659;41.4727272727273;37.1;35.92;36.925;31.4428571428571;35.4396648044693;554.727272727273;368;357.6;371.25;430.761904761905;425.539325842697
"48";"121-c";285.463636363636;290;289.18;289.1;288.266666666667;287.258100558659;41.4727272727273;37.1;35.92;36.925;31.4428571428571;35.4396648044693;554.727272727273;368;357.6;371.25;430.761904761905;425.539325842697
"49";"122-a";284.3;288.8;288;287.925;287.104761904762;286.105586592179;41.9;38.2;36.9;37.9;31.9142857142857;35.9441340782123;649.181818181818;410;403.2;418.25;490.380952380952;489.292134831461
"50";"122-b";284.3;288.8;288;287.925;287.104761904762;286.105586592179;41.9;38.2;36.9;37.9;31.9142857142857;35.9441340782123;649.181818181818;410;403.2;418.25;490.380952380952;489.292134831461
"51";"122-c";284.3;288.8;288;287.925;287.104761904762;286.105586592179;41.9;38.2;36.9;37.9;31.9142857142857;35.9441340782123;649.181818181818;410;403.2;418.25;490.380952380952;489.292134831461
"52";"123-a";275.718181818182;278.8;278.46;278.125;277.933333333333;277.093854748603;68.7454545454545;67.9;65.66;65.1;63.1142857142857;67.8100558659218;230.090909090909;238;238.2;240.5;229.714285714286;233.584269662921
"53";"123-b";275.718181818182;278.8;278.46;278.125;277.933333333333;277.093854748603;68.7454545454545;67.9;65.66;65.1;63.1142857142857;67.8100558659218;230.090909090909;238;238.2;240.5;229.714285714286;233.584269662921
"54";"123-c";275.718181818182;278.8;278.46;278.125;277.933333333333;277.093854748603;68.7454545454545;67.9;65.66;65.1;63.1142857142857;67.8100558659218;230.090909090909;238;238.2;240.5;229.714285714286;233.584269662921
"55";"124-a";276.236363636364;279.4;278.96;278.625;278.433333333333;277.599441340782;68.7454545454545;67.7;65.74;65;62.9857142857143;67.7402234636872;219.181818181818;225;225.8;226.25;216.47619047619;221.258426966292
"56";"124-b";276.236363636364;279.4;278.96;278.625;278.433333333333;277.599441340782;68.7454545454545;67.7;65.74;65;62.9857142857143;67.7402234636872;219.181818181818;225;225.8;226.25;216.47619047619;221.258426966292
"57";"124-c";276.236363636364;279.4;278.96;278.625;278.433333333333;277.599441340782;68.7454545454545;67.7;65.74;65;62.9857142857143;67.7402234636872;219.181818181818;225;225.8;226.25;216.47619047619;221.258426966292
"58";"125-a";274.254545454545;277.4;276.94;276.625;276.433333333333;275.634636871508;69.9181818181818;68.6;66.82;65.6;64.9142857142857;69.3430167597765;220.909090909091;233;233.6;234.5;223.238095238095;227.269662921348
"59";"125-b";274.254545454545;277.4;276.94;276.625;276.433333333333;275.634636871508;69.9181818181818;68.6;66.82;65.6;64.9142857142857;69.3430167597765;220.909090909091;233;233.6;234.5;223.238095238095;227.269662921348
"60";"125-c";274.254545454545;277.4;276.94;276.625;276.433333333333;275.634636871508;69.9181818181818;68.6;66.82;65.6;64.9142857142857;69.3430167597765;220.909090909091;233;233.6;234.5;223.238095238095;227.269662921348
"61";"126-a";274.5;277.6;277.2;276.9;276.719047619048;275.911731843575;69.6181818181818;68.6;66.54;65.525;64.3761904761905;68.9262569832402;232;250;249.4;251.5;239.904761904762;242.123595505618
"62";"126-b";274.5;277.6;277.2;276.9;276.719047619048;275.911731843575;69.6181818181818;68.6;66.54;65.525;64.3761904761905;68.9262569832402;232;250;249.4;251.5;239.904761904762;242.123595505618
"63";"126-c";274.5;277.6;277.2;276.9;276.719047619048;275.911731843575;69.6181818181818;68.6;66.54;65.525;64.3761904761905;68.9262569832402;232;250;249.4;251.5;239.904761904762;242.123595505618
"64";"128-a";275.027272727273;278.2;277.74;277.425;277.22380952381;276.421787709497;69.7363636363636;68.7;66.62;65.55;64.3761904761905;69.0050279329609;218.363636363636;221;224;226;214.380952380952;219.112359550562
"65";"128-b";275.027272727273;278.2;277.74;277.425;277.22380952381;276.421787709497;69.7363636363636;68.7;66.62;65.55;64.3761904761905;69.0050279329609;218.363636363636;221;224;226;214.380952380952;219.112359550562
