"Site_ID";"MAP_Interglacial";"MAT_Interglacial";"Isothermality_Interglacial"
"137";"156-b";510.920196533203;129.18408203125;29
"138";"156-c";510.920196533203;129.18408203125;29
"139";"157-a";516.609497070312;128.227111816406;29
"140";"157-b";516.609497070312;128.227111816406;29
"141";"157-c";516.609497070312;128.227111816406;29
"142";"158-a";517.900634765625;132.193023681641;29.4881763458252
"143";"158-b";517.900634765625;132.193023681641;29.4881763458252
"144";"158-c";517.900634765625;132.193023681641;29.4881763458252
"145";"159-a";517.900634765625;132.193023681641;29.4881763458252
"146";"159-b";517.900634765625;132.193023681641;29.4881763458252
"147";"159-c";517.900634765625;132.193023681641;29.4881763458252
"148";"16-a";110.63037109375;158.915115356445;52.2017478942871
"149";"16-b";110.63037109375;158.915115356445;52.2017478942871
"150";"16-c";110.63037109375;158.915115356445;52.2017478942871
"151";"162-a";499.836975097656;127.249267578125;29
"152";"162-b";499.836975097656;127.249267578125;29
"153";"162-c";499.836975097656;127.249267578125;29
"154";"163-a";547.993591308594;118.310485839844;28
"155";"163-b";547.993591308594;118.310485839844;28
"156";"163-c";547.993591308594;118.310485839844;28
"157";"164-a";434.003051757812;159.924667358398;30.9536075592041
"158";"164-b";434.003051757812;159.924667358398;30.9536075592041
"159";"164-c";434.003051757812;159.924667358398;30.9536075592041
"160";"165-a";512.564331054688;126.375427246094;29
"161";"165-b";512.564331054688;126.375427246094;29
"162";"165-c";512.564331054688;126.375427246094;29
"163";"166-a";558.625427246094;120.27091217041;29
"164";"166-b";558.625427246094;120.27091217041;29
"165";"166-c";558.625427246094;120.27091217041;29
"166";"167-a";437.083038330078;149.764465332031;30
"167";"167-b";437.083038330078;149.764465332031;30
"168";"167-c";437.083038330078;149.764465332031;30
"169";"168-a";439.91552734375;148.698623657227;29
"170";"168-b";439.91552734375;148.698623657227;29
"171";"168-c";439.91552734375;148.698623657227;29
"172";"169-a";541.305358886719;117.779472351074;28
"173";"169-b";541.305358886719;117.779472351074;28
"174";"169-c";541.305358886719;117.779472351074;28
"175";"17-a";289.059753417969;180.924682617188;53
"176";"17-b";289.059753417969;180.924682617188;53
"177";"17-c";289.059753417969;180.924682617188;53
"178";"170-a";442.19677734375;149.70539855957;30.0016193389893
"179";"170-b";442.19677734375;149.70539855957;30.0016193389893
"180";"170-c";442.19677734375;149.70539855957;30.0016193389893
"181";"171-a";434.027221679688;150.594360351562;29.0000247955322
"182";"171-b";434.027221679688;150.594360351562;29.0000247955322
"183";"171-c";434.027221679688;150.594360351562;29.0000247955322
"184";"172-a";482.242248535156;144.15168762207;30.2206363677979
"185";"172-b";482.242248535156;144.15168762207;30.2206363677979
"186";"172-c";482.242248535156;144.15168762207;30.2206363677979
"187";"173-a";534.459838867188;124.475555419922;27
"188";"173-b";534.459838867188;124.475555419922;27
"189";"173-c";534.459838867188;124.475555419922;27
"190";"174-a";400.643981933594;164.945495605469;30
"191";"174-b";400.643981933594;164.945495605469;30
"192";"174-c";400.643981933594;164.945495605469;30
"193";"175-a";523.86474609375;119.39769744873;28.9791679382324
"194";"175-b";523.86474609375;119.39769744873;28.9791679382324
"195";"175-c";523.86474609375;119.39769744873;28.9791679382324
"196";"176-a";435.054840087891;151.249664306641;30.0016040802002
"197";"176-b";435.054840087891;151.249664306641;30.0016040802002
"198";"176-c";435.054840087891;151.249664306641;30.0016040802002
"199";"177-a";508.604339599609;128.131774902344;29
"200";"177-b";508.604339599609;128.131774902344;29
"201";"177-c";508.604339599609;128.131774902344;29
"202";"178-a";549.907653808594;127.122207641602;29.0368118286133
"203";"178-b";549.907653808594;127.122207641602;29.0368118286133
"204";"178-c";549.907653808594;127.122207641602;29.0368118286133
"205";"179-a";556.069030761719;123.311645507812;28.8448429107666
"206";"179-b";556.069030761719;123.311645507812;28.8448429107666
"207";"179-c";556.069030761719;123.311645507812;28.8448429107666
"208";"18-a";150.564239501953;162.054840087891;52.2368659973145
"209";"18-b";150.564239501953;162.054840087891;52.2368659973145
"210";"18-c";150.564239501953;162.054840087891;52.2368659973145
"211";"180-a";536.011535644531;124.204956054688;29
"212";"180-b";536.011535644531;124.204956054688;29
"213";"180-c";536.011535644531;124.204956054688;29
"214";"182-a";523.191284179688;130.291229248047;26.6641578674316
"215";"182-b";523.191284179688;130.291229248047;26.6641578674316
"216";"182-c";523.191284179688;130.291229248047;26.6641578674316
"217";"185-a";554.442138671875;117.133193969727;29
"218";"185-b";554.442138671875;117.133193969727;29
"219";"185-c";554.442138671875;117.133193969727;29
"220";"186-a";552.556457519531;123.975852966309;29.0384922027588
"221";"186-b";552.556457519531;123.975852966309;29.0384922027588
"222";"186-c";552.556457519531;123.975852966309;29.0384922027588
"223";"187-a";199.363204956055;176.748138427734;30.2032070159912
"224";"187-b";199.363204956055;176.748138427734;30.2032070159912
"225";"187-c";199.363204956055;176.748138427734;30.2032070159912
"226";"189-a";253.020278930664;179.773498535156;28
"227";"189-b";253.020278930664;179.773498535156;28
"228";"189-c";253.020278930664;179.773498535156;28
"229";"190-a";305.295227050781;161.381942749023;30.7344589233398
"230";"190-b";305.295227050781;161.381942749023;30.7344589233398
"231";"190-c";305.295227050781;161.381942749023;30.7344589233398
"232";"192-a";177.947082519531;193.598129272461;29
"233";"192-b";177.947082519531;193.598129272461;29
"234";"192-c";177.947082519531;193.598129272461;29
